Team1, Team1 SPI, Team1 Off, Team1 Def, Team1 avg xGF, Team1 avg xGA, Team1 avg GF, Team1 avg GA, Team2, Team2 SPI, Team2 Off, Team2 Def, Team2 avg xGF, Team2 avg xGA, Team2 avg GF, Team2 avg GA
Villarreal, 80.05, 2.25, 0.63, 1.8919579860705293, 1.2937562126715325, 1.6578947368421053, 0.9736842105263158, Atletico Madrid, 80.37, 2.01, 0.47, 1.6416386126810194, 1.0249752803019394, 1.7105263157894737, 1.131578947368421
Torino, 67.89, 1.72, 0.77, 1.5107608210712082, 1.085657891572306, 1.2105263157894737, 1.0789473684210527, Fiorentina, 72.18, 1.95, 0.77, 1.6546221752160866, 1.270841716028946, 1.5526315789473684, 1.3421052631578947
Espanyol, 60.08, 1.57, 0.97, 1.065625295655704, 1.5440680874560617, 1.0526315789473684, 1.394736842105263, Elche, 61.39, 1.62, 0.95, 0.9971794384825778, 1.6284498593059222, 1.0526315789473684, 1.368421052631579
Cagliari, 51.71, 1.52, 1.26, 1.0859291349586688, 1.8839286771774488, 0.8947368421052632, 1.7894736842105263, Bologna, 58.64, 1.66, 1.1, 1.2355122662664049, 1.5961663068737835, 1.1578947368421053, 1.4473684210526316
Southampton, 61.93, 1.82, 1.1, 1.327553465815359, 1.8128246699067716, 1.131578947368421, 1.763157894736842, Brentford, 72.4, 1.99, 0.79, 1.4534447912714983, 1.3730667749125707, 1.263157894736842, 1.4736842105263157
West Ham, 73.02, 1.98, 0.76, 1.5325747843047506, 1.491025018799854, 1.5789473684210527, 1.3421052631578947, Norwich, 47.05, 1.47, 1.42, 0.8882359008451826, 2.21916103899773, 0.6052631578947368, 2.210526315789474
Borussia Dortmund, 81.09, 2.6, 0.8, 2.1037757182630763, 1.469655765891623, 2.5, 1.5294117647058822, Freiburg, 70.26, 2.14, 1.0, 1.8068193832741064, 1.5124072195578586, 1.7058823529411764, 1.3529411764705883
Nice, 63.17, 1.62, 0.88, 1.595185854227135, 1.1948686407903504, 1.368421052631579, 0.9473684210526315, Nantes, 59.95, 1.65, 1.04, 1.2670581879486378, 1.4680384727023346, 1.4473684210526316, 1.263157894736842
Brighton, 80.03, 2.08, 0.52, 1.4040475541627722, 1.26974789891392, 1.105263157894737, 1.1578947368421053, Crystal Palace, 76.48, 1.88, 0.55, 1.3175773339248018, 1.15307116725384, 1.3157894736842106, 1.2105263157894737
Manchester City, 93.45, 3.03, 0.27, 2.6121461387037446, 0.6728100821890525, 2.6052631578947367, 0.6842105263157895, Chelsea, 88.35, 2.45, 0.33, 1.8816399392549341, 0.9519249545042648, 2.0, 0.868421052631579
Sampdoria, 55.47, 1.59, 1.17, 1.1245919360264547, 1.7146157081434994, 1.2105263157894737, 1.6578947368421053, Torino, 67.89, 1.72, 0.77, 1.5107608210712082, 1.085657891572306, 1.2105263157894737, 1.0789473684210527
VfB Stuttgart, 65.96, 1.94, 1.03, 1.4576329425360788, 1.7035840217106264, 1.2058823529411764, 1.7352941176470589, RasenBallsport Leipzig, 81.83, 2.45, 0.67, 2.020009269910481, 1.3811090247541227, 2.1176470588235294, 1.088235294117647
FC Cologne, 70.45, 2.04, 0.91, 1.571584057953099, 1.6424311931683298, 1.5294117647058822, 1.4411764705882353, Bayern Munich, 91.63, 3.41, 0.59, 3.1848482154857587, 1.1755662373787559, 2.8529411764705883, 1.088235294117647
Union Berlin, 74.94, 2.0, 0.69, 1.6618727081838776, 1.331746083437739, 1.4705882352941178, 1.2941176470588236, Hoffenheim, 67.7, 2.17, 1.14, 1.9006813314250286, 1.7625488291412372, 1.7058823529411764, 1.7647058823529411
Mainz 05, 72.55, 2.06, 0.84, 1.5822765732814066, 1.3271881805404144, 1.4705882352941178, 1.3235294117647058, Bochum, 62.65, 1.8, 1.05, 1.3586904068669194, 1.8764772725236767, 1.1176470588235294, 1.5294117647058822
Wolfsburg, 69.11, 1.96, 0.91, 1.4895627403850942, 1.6292645663625616, 1.2647058823529411, 1.588235294117647, Hertha Berlin, 59.12, 1.65, 1.08, 1.1779118813848233, 1.7509651863673592, 1.088235294117647, 2.088235294117647
Newcastle United, 71.71, 1.84, 0.71, 1.1984831711375399, 1.7736047748108639, 1.1578947368421053, 1.631578947368421, Watford, 55.31, 1.59, 1.18, 1.0732406013473672, 1.8880837613863772, 0.8947368421052632, 2.026315789473684
Norwich, 47.05, 1.47, 1.42, 0.8882359008451826, 2.21916103899773, 0.6052631578947368, 2.210526315789474, Everton, 63.69, 1.77, 0.99, 1.2029209178137152, 1.7456490410687893, 1.131578947368421, 1.736842105263158
Wolverhampton Wanderers, 69.58, 1.78, 0.76, 1.1291963762579191, 1.5820305071477043, 1.0, 1.131578947368421, Southampton, 61.93, 1.82, 1.1, 1.327553465815359, 1.8128246699067716, 1.131578947368421, 1.763157894736842
Saint-Etienne, 47.88, 1.4, 1.3, 1.0877901843969564, 1.8217539028509666, 1.105263157894737, 2.026315789473684, Lens, 66.76, 1.76, 0.85, 1.4422291955714555, 1.1705754209603918, 1.631578947368421, 1.263157894736842
Salernitana, 47.09, 1.48, 1.42, 1.072091965372429, 1.9531356759712493, 0.868421052631579, 2.0526315789473686, Lazio, 73.27, 2.22, 0.92, 1.666094583679775, 1.3687007182375772, 2.026315789473684, 1.5263157894736843
Borussia M.Gladbach, 71.33, 2.3, 1.07, 1.7718261810677016, 1.8486483062973575, 1.588235294117647, 1.7941176470588236, Bayer Leverkusen, 77.76, 2.34, 0.8, 2.1289094665142545, 1.3743064546108466, 2.3529411764705883, 1.3823529411764706
Aston Villa, 76.22, 2.02, 0.65, 1.192485629029474, 1.4823188135204346, 1.368421052631579, 1.4210526315789473, Manchester United, 74.67, 2.07, 0.75, 1.5464226966846342, 1.6011651549120678, 1.5, 1.5
Juventus, 68.42, 1.89, 0.88, 1.6451156799877553, 1.110500469742539, 1.5, 0.9736842105263158, Udinese, 60.94, 1.81, 1.14, 1.624627091174357, 1.4848329133329619, 1.605263157894737, 1.5263157894736843
Paris Saint Germain, 85.82, 2.79, 0.65, 2.2576728524076506, 1.0284020803672702, 2.3684210526315788, 0.9473684210526315, Brest, 52.81, 1.54, 1.24, 1.2192286980877582, 1.685382347737782, 1.2894736842105263, 1.5
Sassuolo, 61.05, 2.05, 1.35, 1.6769844877876734, 1.8756222460835583, 1.6842105263157894, 1.736842105263158, Verona, 66.06, 1.88, 0.98, 1.544266535238804, 1.4431178288803876, 1.7105263157894737, 1.5526315789473684
Rennes, 71.73, 2.04, 0.86, 1.8511637453185885, 1.1914980996302085, 2.1578947368421053, 1.0526315789473684, Bordeaux, 46.25, 1.5, 1.48, 1.2746656355448067, 1.9498243085843951, 1.368421052631579, 2.3947368421052633
Elche, 61.39, 1.62, 0.95, 0.9971794384825778, 1.6284498593059222, 1.0526315789473684, 1.368421052631579, Villarreal, 80.05, 2.25, 0.63, 1.8919579860705293, 1.2937562126715325, 1.6578947368421053, 0.9736842105263158
Liverpool, 93.26, 2.9, 0.24, 2.5103376165375506, 0.897437641017237, 2.473684210526316, 0.6842105263157895, Brentford, 72.4, 1.99, 0.79, 1.4534447912714983, 1.3730667749125707, 1.263157894736842, 1.4736842105263157
Strasbourg, 70.84, 1.84, 0.75, 1.7595233881331391, 1.177639756278184, 1.5789473684210527, 1.131578947368421, Montpellier, 49.58, 1.44, 1.27, 1.176244605185562, 1.555476572180755, 1.2894736842105263, 1.605263157894737
Monaco, 72.95, 2.08, 0.84, 1.7595150001396083, 1.2055085503594263, 1.7105263157894737, 1.0526315789473684, Clermont Foot, 52.09, 1.44, 1.16, 1.1818662882341366, 1.5715001757428246, 1.0, 1.8157894736842106
Lorient, 51.88, 1.39, 1.13, 1.071429021852581, 1.5002802847639511, 0.9210526315789473, 1.6578947368421053, Angers, 55.25, 1.42, 1.02, 1.2781478636653016, 1.450659903967263, 1.1578947368421053, 1.4473684210526316
Reims, 57.12, 1.43, 0.95, 1.1071786692758139, 1.3191259840846454, 1.131578947368421, 1.1578947368421053, Metz, 41.2, 1.15, 1.33, 0.8501206517807747, 1.9274936946917718, 0.9210526315789473, 1.8157894736842106
West Ham, 73.02, 1.98, 0.76, 1.5325747843047506, 1.491025018799854, 1.5789473684210527, 1.3421052631578947, Leeds, 63.04, 1.84, 1.07, 1.3659192521958368, 1.9257546887414432, 1.105263157894737, 2.0789473684210527
Venezia, 41.89, 1.41, 1.6, 0.9695770530593827, 2.121485500804786, 0.8947368421052632, 1.8157894736842106, Empoli, 50.16, 1.63, 1.45, 1.2818148064083958, 2.144567153061201, 1.3157894736842106, 1.8421052631578947
Augsburg, 61.45, 1.79, 1.09, 1.157708315863548, 1.9854475203353692, 1.1470588235294117, 1.6470588235294117, Eintracht Frankfurt, 68.66, 1.88, 0.87, 1.297313417403904, 1.6519254430690233, 1.3235294117647058, 1.4411764705882353
Troyes, 53.7, 1.39, 1.05, 1.1138023652969615, 1.4594345791265368, 0.9736842105263158, 1.394736842105263, Lyon, 72.04, 2.24, 0.99, 2.007377610076219, 1.5583540254248012, 1.736842105263158, 1.3421052631578947
Arminia Bielefeld, 49.41, 1.45, 1.3, 0.8526215417420163, 2.131480550201719, 0.7941176470588235, 1.5588235294117647, Greuther Fuerth, 51.04, 1.42, 1.2, 0.9734232371042976, 1.9427155332968515, 0.8235294117647058, 2.411764705882353
Roma, 75.94, 1.93, 0.6, 1.812701192157539, 1.1656070171830881, 1.5526315789473684, 1.131578947368421, Cagliari, 51.71, 1.52, 1.26, 1.0859291349586688, 1.8839286771774488, 0.8947368421052632, 1.7894736842105263
Atalanta, 76.54, 2.28, 0.81, 1.902644086261525, 1.3253382790564119, 1.7105263157894737, 1.263157894736842, Inter, 82.1, 2.53, 0.71, 2.4776535339432915, 1.0821226572887481, 2.210526315789474, 0.8421052631578947
Marseille, 70.22, 1.8, 0.75, 1.606798159203639, 1.1840260786273957, 1.6578947368421053, 1.0, Lille, 69.53, 1.71, 0.7, 1.5507093117278266, 1.036735309202126, 1.263157894736842, 1.263157894736842
Bologna, 58.64, 1.66, 1.1, 1.2355122662664049, 1.5961663068737835, 1.1578947368421053, 1.4473684210526316, Napoli, 76.96, 2.18, 0.73, 1.7012360308711465, 0.9452272548560837, 1.9473684210526316, 0.8157894736842105
AC Milan, 80.03, 2.11, 0.54, 1.8915867038120173, 0.9678612502144748, 1.8157894736842106, 0.8157894736842105, Spezia, 48.7, 1.51, 1.39, 1.181754382988928, 1.9207158141377334, 1.0789473684210527, 1.868421052631579
Fiorentina, 72.18, 1.95, 0.77, 1.6546221752160866, 1.270841716028946, 1.5526315789473684, 1.3421052631578947, Genoa, 53.37, 1.41, 1.09, 1.0450683881308098, 1.6445877757658691, 0.7105263157894737, 1.5789473684210527
Real Betis, 73.36, 1.88, 0.68, 1.5053543495136852, 1.2967617816634869, 1.631578947368421, 1.0526315789473684, Alavés, 55.62, 1.54, 1.12, 1.06872027755813, 1.744453172101394, 0.8157894736842105, 1.7105263157894737
Brighton, 80.03, 2.08, 0.52, 1.4040475541627722, 1.26974789891392, 1.105263157894737, 1.1578947368421053, Chelsea, 88.35, 2.45, 0.33, 1.8816399392549341, 0.9519249545042648, 2.0, 0.868421052631579
Cadiz, 66.06, 1.71, 0.84, 1.1608112203692527, 1.4767493290924711, 0.9210526315789473, 1.3421052631578947, Espanyol, 60.08, 1.57, 0.97, 1.065625295655704, 1.5440680874560617, 1.0526315789473684, 1.394736842105263
Celta Vigo, 74.06, 1.85, 0.63, 1.2704382050463832, 1.2945072751884397, 1.131578947368421, 1.131578947368421, Osasuna, 66.57, 1.65, 0.78, 1.1158695479266738, 1.4202070488888574, 0.9736842105263158, 1.3421052631578947
Montpellier, 49.58, 1.44, 1.27, 1.176244605185562, 1.555476572180755, 1.2894736842105263, 1.605263157894737, Troyes, 53.7, 1.39, 1.05, 1.1138023652969615, 1.4594345791265368, 0.9736842105263158, 1.394736842105263
Lille, 69.53, 1.71, 0.7, 1.5507093117278266, 1.036735309202126, 1.263157894736842, 1.263157894736842, Lorient, 51.88, 1.39, 1.13, 1.071429021852581, 1.5002802847639511, 0.9210526315789473, 1.6578947368421053
Clermont Foot, 52.09, 1.44, 1.16, 1.1818662882341366, 1.5715001757428246, 1.0, 1.8157894736842106, Strasbourg, 70.84, 1.84, 0.75, 1.7595233881331391, 1.177639756278184, 1.5789473684210527, 1.131578947368421
Leicester, 71.31, 1.98, 0.83, 1.3275557268459939, 1.8074680180043767, 1.631578947368421, 1.5526315789473684, Tottenham, 84.1, 2.45, 0.56, 1.9733955195467723, 1.1953187124117424, 1.8157894736842106, 1.0526315789473684
Brentford, 72.4, 1.99, 0.79, 1.4534447912714983, 1.3730667749125707, 1.263157894736842, 1.4736842105263157, Manchester United, 74.67, 2.07, 0.75, 1.5464226966846342, 1.6011651549120678, 1.5, 1.5
Valencia, 68.99, 1.7, 0.72, 1.2091086159435738, 1.504733478368603, 1.263157894736842, 1.394736842105263, Sevilla, 73.15, 1.74, 0.58, 1.3183709141847335, 1.0753299409744184, 1.394736842105263, 0.7894736842105263
Getafe, 68.74, 1.5, 0.58, 0.8680035136762614, 1.2045587987246875, 0.868421052631579, 1.0789473684210527, Granada, 57.66, 1.65, 1.14, 1.1279875580098873, 1.8254091184414727, 1.1578947368421053, 1.605263157894737
Eintracht Frankfurt, 68.66, 1.88, 0.87, 1.297313417403904, 1.6519254430690233, 1.3235294117647058, 1.4411764705882353, Arminia Bielefeld, 49.41, 1.45, 1.3, 0.8526215417420163, 2.131480550201719, 0.7941176470588235, 1.5588235294117647
Verona, 66.06, 1.88, 0.98, 1.544266535238804, 1.4431178288803876, 1.7105263157894737, 1.5526315789473684, Bologna, 58.64, 1.66, 1.1, 1.2355122662664049, 1.5961663068737835, 1.1578947368421053, 1.4473684210526316
Espanyol, 60.08, 1.57, 0.97, 1.065625295655704, 1.5440680874560617, 1.0526315789473684, 1.394736842105263, Real Betis, 73.36, 1.88, 0.68, 1.5053543495136852, 1.2967617816634869, 1.631578947368421, 1.0526315789473684
Watford, 55.31, 1.59, 1.18, 1.0732406013473672, 1.8880837613863772, 0.8947368421052632, 2.026315789473684, Norwich, 47.05, 1.47, 1.42, 0.8882359008451826, 2.21916103899773, 0.6052631578947368, 2.210526315789474
Lyon, 72.04, 2.24, 0.99, 2.007377610076219, 1.5583540254248012, 1.736842105263158, 1.3421052631578947, Saint-Etienne, 47.88, 1.4, 1.3, 1.0877901843969564, 1.8217539028509666, 1.105263157894737, 2.026315789473684
Everton, 63.69, 1.77, 0.99, 1.2029209178137152, 1.7456490410687893, 1.131578947368421, 1.736842105263158, Aston Villa, 76.22, 2.02, 0.65, 1.192485629029474, 1.4823188135204346, 1.368421052631579, 1.4210526315789473
Levante, 64.13, 1.99, 1.16, 1.5310494051020789, 1.660066675970723, 1.3421052631578947, 2.0, Cadiz, 66.06, 1.71, 0.84, 1.1608112203692527, 1.4767493290924711, 0.9210526315789473, 1.3421052631578947
Genoa, 53.37, 1.41, 1.09, 1.0450683881308098, 1.6445877757658691, 0.7105263157894737, 1.5789473684210527, Udinese, 60.94, 1.81, 1.14, 1.624627091174357, 1.4848329133329619, 1.605263157894737, 1.5263157894736843
Borussia M.Gladbach, 71.33, 2.3, 1.07, 1.7718261810677016, 1.8486483062973575, 1.588235294117647, 1.7941176470588236, Union Berlin, 74.94, 2.0, 0.69, 1.6618727081838776, 1.331746083437739, 1.4705882352941178, 1.2941176470588236
Bayer Leverkusen, 77.76, 2.34, 0.8, 2.1289094665142545, 1.3743064546108466, 2.3529411764705883, 1.3823529411764706, Augsburg, 61.45, 1.79, 1.09, 1.157708315863548, 1.9854475203353692, 1.1470588235294117, 1.6470588235294117
Freiburg, 70.26, 2.14, 1.0, 1.8068193832741064, 1.5124072195578586, 1.7058823529411764, 1.3529411764705883, VfB Stuttgart, 65.96, 1.94, 1.03, 1.4576329425360788, 1.7035840217106264, 1.2058823529411764, 1.7352941176470589
Greuther Fuerth, 51.04, 1.42, 1.2, 0.9734232371042976, 1.9427155332968515, 0.8235294117647058, 2.411764705882353, Mainz 05, 72.55, 2.06, 0.84, 1.5822765732814066, 1.3271881805404144, 1.4705882352941178, 1.3235294117647058
Hoffenheim, 67.7, 2.17, 1.14, 1.9006813314250286, 1.7625488291412372, 1.7058823529411764, 1.7647058823529411, Borussia Dortmund, 81.09, 2.6, 0.8, 2.1037757182630763, 1.469655765891623, 2.5, 1.5294117647058822
Manchester United, 74.67, 2.07, 0.75, 1.5464226966846342, 1.6011651549120678, 1.5, 1.5, West Ham, 73.02, 1.98, 0.76, 1.5325747843047506, 1.491025018799854, 1.5789473684210527, 1.3421052631578947
Leeds, 63.04, 1.84, 1.07, 1.3659192521958368, 1.9257546887414432, 1.105263157894737, 2.0789473684210527, Newcastle United, 71.71, 1.84, 0.71, 1.1984831711375399, 1.7736047748108639, 1.1578947368421053, 1.631578947368421
Brentford, 72.4, 1.99, 0.79, 1.4534447912714983, 1.3730667749125707, 1.263157894736842, 1.4736842105263157, Wolverhampton Wanderers, 69.58, 1.78, 0.76, 1.1291963762579191, 1.5820305071477043, 1.0, 1.131578947368421
Villarreal, 80.05, 2.25, 0.63, 1.8919579860705293, 1.2937562126715325, 1.6578947368421053, 0.9736842105263158, Mallorca, 58.85, 1.62, 1.06, 1.1526084698761176, 1.5811870774548304, 0.9473684210526315, 1.6578947368421053
Brest, 52.81, 1.54, 1.24, 1.2192286980877582, 1.685382347737782, 1.2894736842105263, 1.5, Lille, 69.53, 1.71, 0.7, 1.5507093117278266, 1.036735309202126, 1.263157894736842, 1.263157894736842
Inter, 82.1, 2.53, 0.71, 2.4776535339432915, 1.0821226572887481, 2.210526315789474, 0.8421052631578947, Venezia, 41.89, 1.41, 1.6, 0.9695770530593827, 2.121485500804786, 0.8947368421052632, 1.8157894736842106
Southampton, 61.93, 1.82, 1.1, 1.327553465815359, 1.8128246699067716, 1.131578947368421, 1.763157894736842, Manchester City, 93.45, 3.03, 0.27, 2.6121461387037446, 0.6728100821890525, 2.6052631578947367, 0.6842105263157895
Bochum, 62.65, 1.8, 1.05, 1.3586904068669194, 1.8764772725236767, 1.1176470588235294, 1.5294117647058822, FC Cologne, 70.45, 2.04, 0.91, 1.571584057953099, 1.6424311931683298, 1.5294117647058822, 1.4411764705882353
Sevilla, 73.15, 1.74, 0.58, 1.3183709141847335, 1.0753299409744184, 1.394736842105263, 0.7894736842105263, Celta Vigo, 74.06, 1.85, 0.63, 1.2704382050463832, 1.2945072751884397, 1.131578947368421, 1.131578947368421
Lazio, 73.27, 2.22, 0.92, 1.666094583679775, 1.3687007182375772, 2.026315789473684, 1.5263157894736843, Atalanta, 76.54, 2.28, 0.81, 1.902644086261525, 1.3253382790564119, 1.7105263157894737, 1.263157894736842
Atletico Madrid, 80.37, 2.01, 0.47, 1.6416386126810194, 1.0249752803019394, 1.7105263157894737, 1.131578947368421, Valencia, 68.99, 1.7, 0.72, 1.2091086159435738, 1.504733478368603, 1.263157894736842, 1.394736842105263
Lens, 66.76, 1.76, 0.85, 1.4422291955714555, 1.1705754209603918, 1.631578947368421, 1.263157894736842, Marseille, 70.22, 1.8, 0.75, 1.606798159203639, 1.1840260786273957, 1.6578947368421053, 1.0
Cagliari, 51.71, 1.52, 1.26, 1.0859291349586688, 1.8839286771774488, 0.8947368421052632, 1.7894736842105263, Fiorentina, 72.18, 1.95, 0.77, 1.6546221752160866, 1.270841716028946, 1.5526315789473684, 1.3421052631578947
Metz, 41.2, 1.15, 1.33, 0.8501206517807747, 1.9274936946917718, 0.9210526315789473, 1.8157894736842106, Nice, 63.17, 1.62, 0.88, 1.595185854227135, 1.1948686407903504, 1.368421052631579, 0.9473684210526315
Granada, 57.66, 1.65, 1.14, 1.1279875580098873, 1.8254091184414727, 1.1578947368421053, 1.605263157894737, Osasuna, 66.57, 1.65, 0.78, 1.1158695479266738, 1.4202070488888574, 0.9736842105263158, 1.3421052631578947
Leicester, 71.31, 1.98, 0.83, 1.3275557268459939, 1.8074680180043767, 1.631578947368421, 1.5526315789473684, Brighton, 80.03, 2.08, 0.52, 1.4040475541627722, 1.26974789891392, 1.105263157894737, 1.1578947368421053
Nantes, 59.95, 1.65, 1.04, 1.2670581879486378, 1.4680384727023346, 1.4473684210526316, 1.263157894736842, Lorient, 51.88, 1.39, 1.13, 1.071429021852581, 1.5002802847639511, 0.9210526315789473, 1.6578947368421053
Spezia, 48.7, 1.51, 1.39, 1.181754382988928, 1.9207158141377334, 1.0789473684210527, 1.868421052631579, Sampdoria, 55.47, 1.59, 1.17, 1.1245919360264547, 1.7146157081434994, 1.2105263157894737, 1.6578947368421053
Bordeaux, 46.25, 1.5, 1.48, 1.2746656355448067, 1.9498243085843951, 1.368421052631579, 2.3947368421052633, Strasbourg, 70.84, 1.84, 0.75, 1.7595233881331391, 1.177639756278184, 1.5789473684210527, 1.131578947368421
Crystal Palace, 76.48, 1.88, 0.55, 1.3175773339248018, 1.15307116725384, 1.3157894736842106, 1.2105263157894737, Liverpool, 93.26, 2.9, 0.24, 2.5103376165375506, 0.897437641017237, 2.473684210526316, 0.6842105263157895
Torino, 67.89, 1.72, 0.77, 1.5107608210712082, 1.085657891572306, 1.2105263157894737, 1.0789473684210527, Sassuolo, 61.05, 2.05, 1.35, 1.6769844877876734, 1.8756222460835583, 1.6842105263157894, 1.736842105263158
Clermont Foot, 52.09, 1.44, 1.16, 1.1818662882341366, 1.5715001757428246, 1.0, 1.8157894736842106, Rennes, 71.73, 2.04, 0.86, 1.8511637453185885, 1.1914980996302085, 2.1578947368421053, 1.0526315789473684
Napoli, 76.96, 2.18, 0.73, 1.7012360308711465, 0.9452272548560837, 1.9473684210526316, 0.8157894736842105, Salernitana, 47.09, 1.48, 1.42, 1.072091965372429, 1.9531356759712493, 0.868421052631579, 2.0526315789473686
Arsenal, 80.18, 2.2, 0.59, 1.7249441382622248, 1.3042706867287819, 1.605263157894737, 1.263157894736842, Burnley, 63.73, 1.7, 0.93, 1.1554015038878118, 1.670789652602061, 0.8947368421052632, 1.394736842105263
Angers, 55.25, 1.42, 1.02, 1.2781478636653016, 1.450659903967263, 1.1578947368421053, 1.4473684210526316, Troyes, 53.7, 1.39, 1.05, 1.1138023652969615, 1.4594345791265368, 0.9736842105263158, 1.394736842105263
RasenBallsport Leipzig, 81.83, 2.45, 0.67, 2.020009269910481, 1.3811090247541227, 2.1176470588235294, 1.088235294117647, Wolfsburg, 69.11, 1.96, 0.91, 1.4895627403850942, 1.6292645663625616, 1.2647058823529411, 1.588235294117647
Real Madrid, 85.5, 2.73, 0.64, 2.152475132030974, 1.223847783795607, 2.1052631578947367, 0.8157894736842105, Elche, 61.39, 1.62, 0.95, 0.9971794384825778, 1.6284498593059222, 1.0526315789473684, 1.368421052631579
Montpellier, 49.58, 1.44, 1.27, 1.176244605185562, 1.555476572180755, 1.2894736842105263, 1.605263157894737, Monaco, 72.95, 2.08, 0.84, 1.7595150001396083, 1.2055085503594263, 1.7105263157894737, 1.0526315789473684
Hertha Berlin, 59.12, 1.65, 1.08, 1.1779118813848233, 1.7509651863673592, 1.088235294117647, 2.088235294117647, Bayern Munich, 91.63, 3.41, 0.59, 3.1848482154857587, 1.1755662373787559, 2.8529411764705883, 1.088235294117647
Chelsea, 88.35, 2.45, 0.33, 1.8816399392549341, 0.9519249545042648, 2.0, 0.868421052631579, Tottenham, 84.1, 2.45, 0.56, 1.9733955195467723, 1.1953187124117424, 1.8157894736842106, 1.0526315789473684
Empoli, 50.16, 1.63, 1.45, 1.2818148064083958, 2.144567153061201, 1.3157894736842106, 1.8421052631578947, Roma, 75.94, 1.93, 0.6, 1.812701192157539, 1.1656070171830881, 1.5526315789473684, 1.131578947368421
Rayo Vallecano, 67.4, 1.71, 0.79, 1.2782531912732673, 1.401552375810417, 1.0263157894736843, 1.3157894736842106, Athletic Club, 76.17, 1.88, 0.56, 1.5957742656434053, 1.0696196193855845, 1.131578947368421, 0.9473684210526315
Real Sociedad, 76.87, 1.91, 0.55, 1.498414097255782, 1.0973726767728007, 1.0526315789473684, 0.9736842105263158, Getafe, 68.74, 1.5, 0.58, 0.8680035136762614, 1.2045587987246875, 0.868421052631579, 1.0789473684210527
Paris Saint Germain, 85.82, 2.79, 0.65, 2.2576728524076506, 1.0284020803672702, 2.3684210526315788, 0.9473684210526315, Reims, 57.12, 1.43, 0.95, 1.1071786692758139, 1.3191259840846454, 1.131578947368421, 1.1578947368421053
AC Milan, 80.03, 2.11, 0.54, 1.8915867038120173, 0.9678612502144748, 1.8157894736842106, 0.8157894736842105, Juventus, 68.42, 1.89, 0.88, 1.6451156799877553, 1.110500469742539, 1.5, 0.9736842105263158
Alavés, 55.62, 1.54, 1.12, 1.06872027755813, 1.744453172101394, 0.8157894736842105, 1.7105263157894737, Barcelona, 84.32, 2.37, 0.5, 1.8629458383657038, 0.9449803422964913, 1.7894736842105263, 1.0
Angers, 55.25, 1.42, 1.02, 1.2781478636653016, 1.450659903967263, 1.1578947368421053, 1.4473684210526316, Saint-Etienne, 47.88, 1.4, 1.3, 1.0877901843969564, 1.8217539028509666, 1.105263157894737, 2.026315789473684
Lyon, 72.04, 2.24, 0.99, 2.007377610076219, 1.5583540254248012, 1.736842105263158, 1.3421052631578947, Marseille, 70.22, 1.8, 0.75, 1.606798159203639, 1.1840260786273957, 1.6578947368421053, 1.0
Hertha Berlin, 59.12, 1.65, 1.08, 1.1779118813848233, 1.7509651863673592, 1.088235294117647, 2.088235294117647, Bochum, 62.65, 1.8, 1.05, 1.3586904068669194, 1.8764772725236767, 1.1176470588235294, 1.5294117647058822
Marseille, 70.22, 1.8, 0.75, 1.606798159203639, 1.1840260786273957, 1.6578947368421053, 1.0, Angers, 55.25, 1.42, 1.02, 1.2781478636653016, 1.450659903967263, 1.1578947368421053, 1.4473684210526316
Getafe, 68.74, 1.5, 0.58, 0.8680035136762614, 1.2045587987246875, 0.868421052631579, 1.0789473684210527, Levante, 64.13, 1.99, 1.16, 1.5310494051020789, 1.660066675970723, 1.3421052631578947, 2.0
Elche, 61.39, 1.62, 0.95, 0.9971794384825778, 1.6284498593059222, 1.0526315789473684, 1.368421052631579, Alavés, 55.62, 1.54, 1.12, 1.06872027755813, 1.744453172101394, 0.8157894736842105, 1.7105263157894737
Roma, 75.94, 1.93, 0.6, 1.812701192157539, 1.1656070171830881, 1.5526315789473684, 1.131578947368421, Genoa, 53.37, 1.41, 1.09, 1.0450683881308098, 1.6445877757658691, 0.7105263157894737, 1.5789473684210527
Mainz 05, 72.55, 2.06, 0.84, 1.5822765732814066, 1.3271881805404144, 1.4705882352941178, 1.3235294117647058, Hoffenheim, 67.7, 2.17, 1.14, 1.9006813314250286, 1.7625488291412372, 1.7058823529411764, 1.7647058823529411
Arminia Bielefeld, 49.41, 1.45, 1.3, 0.8526215417420163, 2.131480550201719, 0.7941176470588235, 1.5588235294117647, Borussia M.Gladbach, 71.33, 2.3, 1.07, 1.7718261810677016, 1.8486483062973575, 1.588235294117647, 1.7941176470588236
FC Cologne, 70.45, 2.04, 0.91, 1.571584057953099, 1.6424311931683298, 1.5294117647058822, 1.4411764705882353, Freiburg, 70.26, 2.14, 1.0, 1.8068193832741064, 1.5124072195578586, 1.7058823529411764, 1.3529411764705883
VfB Stuttgart, 65.96, 1.94, 1.03, 1.4576329425360788, 1.7035840217106264, 1.2058823529411764, 1.7352941176470589, Eintracht Frankfurt, 68.66, 1.88, 0.87, 1.297313417403904, 1.6519254430690233, 1.3235294117647058, 1.4411764705882353
Augsburg, 61.45, 1.79, 1.09, 1.157708315863548, 1.9854475203353692, 1.1470588235294117, 1.6470588235294117, Union Berlin, 74.94, 2.0, 0.69, 1.6618727081838776, 1.331746083437739, 1.4705882352941178, 1.2941176470588236
